user_id,variant,converted,revenue,time_on_page_sec,events_count,bounce
c-00000,control,0,0.0,177.4,6,1
c-00001,control,0,0.0,155.0,2,0
c-00002,control,0,0.0,183.0,3,1
c-00003,control,0,0.0,215.9,3,1
c-00004,control,0,0.0,179.5,8,0
c-00005,control,1,29.83,167.3,3,0
c-00006,control,0,0.0,170.0,4,0
c-00007,control,0,0.0,219.7,3,0
c-00008,control,0,0.0,229.0,2,1
c-00009,control,0,0.0,153.3,5,0
c-00010,control,0,0.0,153.3,0,1
c-00011,control,1,38.34,195.2,1,0
c-00012,control,0,0.0,241.1,2,1
c-00013,control,0,0.0,225.8,5,1
c-00014,control,0,0.0,129.9,6,1
c-00015,control,0,0.0,169.4,6,1
c-00016,control,0,0.0,142.8,2,0
c-00017,control,0,0.0,169.3,6,1
c-00018,control,0,0.0,244.2,4,0
c-00019,control,0,0.0,123.1,5,0
c-00020,control,0,0.0,115.2,4,0
c-00021,control,0,0.0,146.9,2,1
c-00022,control,1,55.28,191.5,0,1
c-00023,control,0,0.0,204.8,7,0
c-00024,control,0,0.0,197.5,0,1
c-00025,control,0,0.0,227.0,4,1
c-00026,control,0,0.0,109.5,5,1
c-00027,control,0,0.0,227.5,6,0
c-00028,control,0,0.0,167.5,3,0
c-00029,control,0,0.0,209.3,6,0
c-00030,control,0,0.0,127.1,4,1
c-00031,control,1,36.86,180.2,4,1
c-00032,control,0,0.0,189.5,3,1
c-00033,control,0,0.0,226.2,5,1
c-00034,control,0,0.0,116.6,2,0
c-00035,control,0,0.0,181.2,4,1
c-00036,control,0,0.0,136.6,5,0
c-00037,control,0,0.0,200.2,2,1
c-00038,control,0,0.0,211.1,3,0
c-00039,control,0,0.0,231.5,1,1
c-00040,control,0,0.0,158.6,3,1
c-00041,control,0,0.0,217.1,3,1
c-00042,control,0,0.0,234.4,2,0
c-00043,control,0,0.0,114.3,2,0
c-00044,control,0,0.0,204.5,3,1
c-00045,control,0,0.0,218.3,2,1
c-00046,control,0,0.0,169.7,5,1
c-00047,control,0,0.0,131.6,0,1
c-00048,control,0,0.0,217.7,3,1
c-00049,control,0,0.0,132.0,2,0
c-00050,control,0,0.0,172.9,5,1
c-00051,control,0,0.0,178.4,2,0
c-00052,control,0,0.0,208.6,4,1
c-00053,control,0,0.0,154.9,6,0
c-00054,control,0,0.0,152.6,3,1
c-00055,control,0,0.0,184.0,2,0
c-00056,control,0,0.0,220.3,1,0
c-00057,control,0,0.0,271.5,4,1
c-00058,control,0,0.0,119.7,4,1
c-00059,control,0,0.0,192.6,4,1
c-00060,control,0,0.0,136.5,4,1
c-00061,control,0,0.0,220.8,1,0
c-00062,control,0,0.0,142.5,5,0
c-00063,control,0,0.0,153.0,1,1
c-00064,control,0,0.0,156.4,1,1
c-00065,control,0,0.0,177.0,3,1
c-00066,control,0,0.0,192.9,1,0
c-00067,control,0,0.0,199.3,0,1
c-00068,control,0,0.0,179.8,9,0
c-00069,control,0,0.0,126.8,1,1
c-00070,control,0,0.0,209.1,4,0
c-00071,control,0,0.0,177.9,4,0
c-00072,control,0,0.0,226.5,4,0
c-00073,control,0,0.0,151.7,3,1
c-00074,control,0,0.0,115.9,9,1
c-00075,control,0,0.0,178.6,3,1
c-00076,control,0,0.0,231.8,7,0
c-00077,control,0,0.0,186.4,4,1
c-00078,control,0,0.0,172.0,7,0
c-00079,control,0,0.0,145.2,3,0
c-00080,control,0,0.0,250.3,3,1
c-00081,control,0,0.0,138.8,1,0
c-00082,control,0,0.0,151.0,2,1
c-00083,control,0,0.0,202.8,6,0
c-00084,control,0,0.0,105.8,7,1
c-00085,control,0,0.0,231.0,5,0
c-00086,control,0,0.0,205.0,5,0
c-00087,control,0,0.0,216.0,4,0
c-00088,control,0,0.0,202.3,5,1
c-00089,control,0,0.0,173.6,1,0
c-00090,control,0,0.0,137.5,4,0
c-00091,control,0,0.0,174.4,7,0
c-00092,control,0,0.0,141.0,4,0
c-00093,control,0,0.0,199.4,4,0
c-00094,control,0,0.0,212.3,1,1
c-00095,control,0,0.0,239.1,4,0
c-00096,control,0,0.0,194.9,2,0
c-00097,control,0,0.0,217.0,3,0
c-00098,control,0,0.0,168.1,3,0
c-00099,control,1,43.15,160.9,3,1
c-00100,control,1,59.66,198.9,4,1
c-00101,control,0,0.0,164.5,4,1
c-00102,control,0,0.0,190.8,2,0
c-00103,control,1,41.81,137.6,6,0
c-00104,control,0,0.0,144.7,2,0
c-00105,control,0,0.0,205.4,1,0
c-00106,control,0,0.0,215.5,2,1
c-00107,control,0,0.0,140.6,3,0
c-00108,control,0,0.0,206.8,4,0
c-00109,control,1,54.15,158.7,3,1
c-00110,control,0,0.0,180.7,3,0
c-00111,control,0,0.0,236.7,5,1
c-00112,control,0,0.0,212.3,2,0
c-00113,control,0,0.0,211.8,2,1
c-00114,control,0,0.0,256.4,3,1
c-00115,control,0,0.0,151.8,6,1
c-00116,control,0,0.0,140.6,3,0
c-00117,control,0,0.0,151.1,2,0
c-00118,control,0,0.0,169.8,0,0
c-00119,control,0,0.0,85.8,2,1
c-00120,control,0,0.0,171.7,1,0
c-00121,control,0,0.0,158.2,2,0
c-00122,control,0,0.0,211.4,3,0
c-00123,control,0,0.0,194.1,2,1
c-00124,control,0,0.0,156.0,3,0
c-00125,control,0,0.0,203.6,3,0
c-00126,control,0,0.0,208.9,6,1
c-00127,control,0,0.0,149.3,3,1
c-00128,control,0,0.0,160.3,2,1
c-00129,control,0,0.0,91.0,3,0
c-00130,control,0,0.0,136.4,2,0
c-00131,control,1,100.16,150.3,4,0
c-00132,control,0,0.0,183.0,1,0
c-00133,control,0,0.0,142.2,2,0
c-00134,control,0,0.0,159.5,2,0
c-00135,control,0,0.0,131.0,3,0
c-00136,control,1,45.27,186.8,3,0
c-00137,control,0,0.0,197.0,1,1
c-00138,control,0,0.0,196.1,2,0
c-00139,control,0,0.0,180.5,4,1
c-00140,control,0,0.0,118.4,1,1
c-00141,control,0,0.0,155.2,3,0
c-00142,control,1,83.15,163.7,1,0
c-00143,control,0,0.0,163.9,2,1
c-00144,control,0,0.0,183.0,5,1
c-00145,control,0,0.0,237.0,2,0
c-00146,control,0,0.0,212.5,4,0
c-00147,control,0,0.0,140.5,3,1
c-00148,control,0,0.0,207.1,1,1
c-00149,control,0,0.0,205.6,1,1
c-00150,control,0,0.0,147.8,2,0
c-00151,control,0,0.0,214.0,4,1
c-00152,control,0,0.0,173.6,1,0
c-00153,control,0,0.0,123.6,2,0
c-00154,control,0,0.0,198.2,2,1
c-00155,control,0,0.0,188.7,2,0
c-00156,control,0,0.0,170.9,1,0
c-00157,control,0,0.0,178.5,2,1
c-00158,control,0,0.0,151.2,2,1
c-00159,control,0,0.0,204.4,2,1
c-00160,control,0,0.0,178.3,5,0
c-00161,control,1,62.91,186.7,2,0
c-00162,control,0,0.0,194.3,10,0
c-00163,control,0,0.0,133.8,2,0
c-00164,control,0,0.0,144.2,3,0
c-00165,control,0,0.0,91.6,1,1
c-00166,control,0,0.0,202.6,2,0
c-00167,control,0,0.0,131.5,3,0
c-00168,control,0,0.0,185.3,3,0
c-00169,control,1,25.27,194.8,1,0
c-00170,control,0,0.0,204.1,6,0
c-00171,control,0,0.0,131.8,0,1
c-00172,control,0,0.0,177.4,3,0
c-00173,control,1,29.79,246.8,2,1
c-00174,control,0,0.0,248.6,4,0
c-00175,control,0,0.0,219.5,2,1
c-00176,control,0,0.0,193.5,1,1
c-00177,control,1,33.61,139.8,2,1
c-00178,control,0,0.0,208.7,3,1
c-00179,control,0,0.0,173.7,6,0
c-00180,control,0,0.0,202.4,4,0
c-00181,control,0,0.0,154.7,2,1
c-00182,control,0,0.0,173.1,2,0
c-00183,control,0,0.0,186.6,3,1
c-00184,control,0,0.0,189.9,3,1
c-00185,control,0,0.0,199.7,2,0
c-00186,control,0,0.0,156.8,2,0
c-00187,control,0,0.0,126.3,6,1
c-00188,control,0,0.0,245.0,4,1
c-00189,control,0,0.0,279.6,4,1
c-00190,control,1,33.29,197.9,1,1
c-00191,control,0,0.0,127.0,2,0
c-00192,control,0,0.0,149.1,7,0
c-00193,control,0,0.0,200.4,2,0
c-00194,control,0,0.0,233.6,3,0
c-00195,control,0,0.0,131.5,2,1
c-00196,control,0,0.0,175.0,5,1
c-00197,control,0,0.0,187.8,4,1
c-00198,control,0,0.0,214.6,1,0
c-00199,control,0,0.0,166.3,0,0
c-00200,control,0,0.0,117.4,6,0
c-00201,control,1,46.96,204.8,2,0
c-00202,control,0,0.0,225.0,1,0
c-00203,control,0,0.0,176.7,1,0
c-00204,control,0,0.0,196.2,3,0
c-00205,control,0,0.0,161.0,6,0
c-00206,control,0,0.0,146.2,1,1
c-00207,control,0,0.0,221.1,1,1
c-00208,control,0,0.0,195.5,0,0
c-00209,control,0,0.0,199.6,5,1
c-00210,control,0,0.0,240.1,2,0
c-00211,control,0,0.0,137.8,5,0
c-00212,control,0,0.0,157.9,0,1
c-00213,control,0,0.0,186.3,0,0
c-00214,control,0,0.0,157.4,2,1
c-00215,control,0,0.0,211.3,0,0
c-00216,control,0,0.0,172.5,5,0
c-00217,control,0,0.0,140.3,4,0
c-00218,control,1,64.5,182.6,4,0
c-00219,control,0,0.0,186.8,1,0
c-00220,control,0,0.0,217.4,3,0
c-00221,control,0,0.0,195.7,2,0
c-00222,control,0,0.0,198.4,1,0
c-00223,control,1,86.04,192.8,3,1
c-00224,control,0,0.0,172.5,3,1
c-00225,control,1,56.19,151.4,1,1
c-00226,control,0,0.0,191.6,1,1
c-00227,control,0,0.0,166.7,4,1
c-00228,control,0,0.0,247.6,0,0
c-00229,control,0,0.0,233.7,5,1
c-00230,control,0,0.0,205.3,2,1
c-00231,control,0,0.0,195.1,3,1
c-00232,control,1,40.02,176.5,4,1
c-00233,control,0,0.0,129.6,3,1
c-00234,control,1,19.16,171.4,2,0
c-00235,control,0,0.0,184.1,6,1
c-00236,control,0,0.0,189.2,2,0
c-00237,control,0,0.0,198.8,3,0
c-00238,control,0,0.0,216.9,6,0
c-00239,control,0,0.0,152.3,1,0
c-00240,control,0,0.0,152.7,4,0
c-00241,control,0,0.0,238.0,2,0
c-00242,control,0,0.0,210.8,3,0
c-00243,control,0,0.0,164.4,2,1
c-00244,control,0,0.0,175.7,2,0
c-00245,control,0,0.0,175.9,1,0
c-00246,control,0,0.0,181.3,1,1
c-00247,control,0,0.0,198.9,3,1
c-00248,control,0,0.0,281.4,1,1
c-00249,control,0,0.0,187.6,3,0
c-00250,control,0,0.0,206.5,4,1
c-00251,control,0,0.0,112.5,5,1
c-00252,control,0,0.0,160.6,2,0
c-00253,control,0,0.0,229.2,5,0
c-00254,control,0,0.0,196.1,3,0
c-00255,control,0,0.0,5.0,4,1
c-00256,control,0,0.0,207.0,3,1
c-00257,control,0,0.0,256.7,3,1
c-00258,control,0,0.0,100.2,4,1
c-00259,control,0,0.0,240.8,6,1
c-00260,control,0,0.0,69.1,3,0
c-00261,control,0,0.0,217.5,3,0
c-00262,control,0,0.0,179.7,5,0
c-00263,control,0,0.0,86.0,2,0
c-00264,control,1,50.49,197.8,4,0
c-00265,control,0,0.0,226.0,4,0
c-00266,control,0,0.0,194.6,4,1
c-00267,control,0,0.0,203.4,2,0
c-00268,control,0,0.0,163.5,1,1
c-00269,control,0,0.0,105.5,3,1
c-00270,control,0,0.0,207.7,1,0
c-00271,control,0,0.0,250.0,6,0
c-00272,control,0,0.0,225.2,3,0
c-00273,control,0,0.0,100.5,1,1
c-00274,control,0,0.0,119.4,4,1
c-00275,control,0,0.0,146.2,6,0
c-00276,control,0,0.0,116.3,5,1
c-00277,control,0,0.0,181.8,2,1
c-00278,control,0,0.0,195.7,3,0
c-00279,control,0,0.0,122.8,6,1
c-00280,control,0,0.0,211.1,3,0
c-00281,control,0,0.0,204.0,2,0
c-00282,control,0,0.0,158.1,2,1
c-00283,control,0,0.0,173.1,2,0
c-00284,control,0,0.0,102.0,3,1
c-00285,control,0,0.0,166.7,0,1
c-00286,control,0,0.0,180.3,3,0
c-00287,control,0,0.0,186.7,4,1
c-00288,control,0,0.0,195.2,3,0
c-00289,control,0,0.0,189.8,4,0
c-00290,control,0,0.0,169.4,3,0
c-00291,control,0,0.0,191.4,4,1
c-00292,control,1,49.48,220.1,4,1
c-00293,control,0,0.0,176.2,8,0
c-00294,control,0,0.0,192.7,0,0
c-00295,control,1,53.11,172.6,5,1
c-00296,control,1,126.19,154.1,2,1
c-00297,control,0,0.0,200.9,1,0
c-00298,control,0,0.0,157.8,1,0
c-00299,control,0,0.0,195.4,4,0
c-00300,control,0,0.0,181.1,2,0
c-00301,control,0,0.0,167.8,6,0
c-00302,control,0,0.0,166.9,2,1
c-00303,control,0,0.0,159.7,1,1
c-00304,control,0,0.0,114.2,3,0
c-00305,control,0,0.0,195.3,3,1
c-00306,control,0,0.0,189.3,6,0
c-00307,control,0,0.0,214.0,2,1
c-00308,control,0,0.0,158.7,0,0
c-00309,control,0,0.0,255.8,2,0
c-00310,control,0,0.0,164.8,3,0
c-00311,control,0,0.0,145.0,0,0
c-00312,control,0,0.0,140.3,6,1
c-00313,control,0,0.0,110.6,3,0
c-00314,control,0,0.0,241.3,2,0
c-00315,control,0,0.0,234.8,1,0
c-00316,control,0,0.0,204.0,2,1
c-00317,control,0,0.0,144.2,2,1
c-00318,control,0,0.0,252.5,3,1
c-00319,control,1,85.48,165.9,8,1
c-00320,control,1,69.64,169.2,10,1
c-00321,control,0,0.0,237.5,5,0
c-00322,control,0,0.0,206.4,3,1
c-00323,control,0,0.0,268.0,6,0
c-00324,control,0,0.0,189.9,2,1
c-00325,control,0,0.0,164.1,2,1
c-00326,control,0,0.0,155.5,4,0
c-00327,control,0,0.0,106.1,5,0
c-00328,control,0,0.0,168.9,2,0
c-00329,control,0,0.0,225.8,2,1
c-00330,control,0,0.0,204.0,2,0
c-00331,control,0,0.0,180.8,3,1
c-00332,control,0,0.0,140.2,2,0
c-00333,control,0,0.0,189.1,1,0
c-00334,control,0,0.0,220.5,4,0
c-00335,control,0,0.0,197.2,2,1
c-00336,control,0,0.0,186.7,1,0
c-00337,control,0,0.0,148.1,4,1
c-00338,control,0,0.0,214.7,2,1
c-00339,control,1,31.72,54.7,1,1
c-00340,control,0,0.0,195.3,4,0
c-00341,control,1,38.83,282.8,2,0
c-00342,control,0,0.0,119.7,3,0
c-00343,control,0,0.0,170.3,2,0
c-00344,control,0,0.0,179.7,2,1
c-00345,control,0,0.0,161.5,2,0
c-00346,control,1,46.87,221.5,2,1
