user_id,variant,metric_name,metric_value
c-00000,control,converted,0.0
c-00001,control,converted,0.0
c-00002,control,converted,0.0
c-00003,control,converted,0.0
c-00004,control,converted,0.0
c-00005,control,converted,1.0
c-00006,control,converted,0.0
c-00007,control,converted,0.0
c-00008,control,converted,0.0
c-00009,control,converted,0.0
c-00010,control,converted,0.0
c-00011,control,converted,1.0
c-00012,control,converted,0.0
c-00013,control,converted,0.0
c-00014,control,converted,0.0
c-00015,control,converted,0.0
c-00016,control,converted,0.0
c-00017,control,converted,0.0
c-00018,control,converted,0.0
c-00019,control,converted,0.0
c-00020,control,converted,0.0
c-00021,control,converted,0.0
c-00022,control,converted,1.0
c-00023,control,converted,0.0
c-00024,control,converted,0.0
c-00025,control,converted,0.0
c-00026,control,converted,0.0
c-00027,control,converted,0.0
c-00028,control,converted,0.0
c-00029,control,converted,0.0
c-00030,control,converted,0.0
c-00031,control,converted,1.0
c-00032,control,converted,0.0
c-00033,control,converted,0.0
c-00034,control,converted,0.0
c-00035,control,converted,0.0
c-00036,control,converted,0.0
c-00037,control,converted,0.0
c-00038,control,converted,0.0
c-00039,control,converted,0.0
c-00040,control,converted,0.0
c-00041,control,converted,0.0
c-00042,control,converted,0.0
c-00043,control,converted,0.0
c-00044,control,converted,0.0
c-00045,control,converted,0.0
c-00046,control,converted,0.0
c-00047,control,converted,0.0
c-00048,control,converted,0.0
c-00049,control,converted,0.0
c-00050,control,converted,0.0
c-00051,control,converted,0.0
c-00052,control,converted,0.0
c-00053,control,converted,0.0
c-00054,control,converted,0.0
c-00055,control,converted,0.0
c-00056,control,converted,0.0
c-00057,control,converted,0.0
c-00058,control,converted,0.0
c-00059,control,converted,0.0
c-00060,control,converted,0.0
c-00061,control,converted,0.0
c-00062,control,converted,0.0
c-00063,control,converted,0.0
c-00064,control,converted,0.0
c-00065,control,converted,0.0
c-00066,control,converted,0.0
c-00067,control,converted,0.0
c-00068,control,converted,0.0
c-00069,control,converted,0.0
c-00070,control,converted,0.0
c-00071,control,converted,0.0
c-00072,control,converted,0.0
c-00073,control,converted,0.0
c-00074,control,converted,0.0
c-00075,control,converted,0.0
c-00076,control,converted,0.0
c-00077,control,converted,0.0
c-00078,control,converted,0.0
c-00079,control,converted,0.0
c-00080,control,converted,0.0
c-00081,control,converted,0.0
c-00082,control,converted,0.0
c-00083,control,converted,0.0
c-00084,control,converted,0.0
c-00085,control,converted,0.0
c-00086,control,converted,0.0
c-00087,control,converted,0.0
c-00088,control,converted,0.0
c-00089,control,converted,0.0
c-00090,control,converted,0.0
c-00091,control,converted,0.0
c-00092,control,converted,0.0
c-00093,control,converted,0.0
c-00094,control,converted,0.0
c-00095,control,converted,0.0
c-00096,control,converted,0.0
c-00097,control,converted,0.0
c-00098,control,converted,0.0
c-00099,control,converted,1.0
c-00100,control,converted,1.0
c-00101,control,converted,0.0
c-00102,control,converted,0.0
c-00103,control,converted,1.0
c-00104,control,converted,0.0
c-00105,control,converted,0.0
c-00106,control,converted,0.0
c-00107,control,converted,0.0
c-00108,control,converted,0.0
c-00109,control,converted,1.0
c-00110,control,converted,0.0
c-00111,control,converted,0.0
c-00112,control,converted,0.0
c-00113,control,converted,0.0
c-00114,control,converted,0.0
c-00115,control,converted,0.0
c-00116,control,converted,0.0
c-00117,control,converted,0.0
c-00118,control,converted,0.0
c-00119,control,converted,0.0
c-00120,control,converted,0.0
c-00121,control,converted,0.0
c-00122,control,converted,0.0
c-00123,control,converted,0.0
c-00124,control,converted,0.0
c-00125,control,converted,0.0
c-00126,control,converted,0.0
c-00127,control,converted,0.0
c-00128,control,converted,0.0
c-00129,control,converted,0.0
c-00130,control,converted,0.0
c-00131,control,converted,1.0
c-00132,control,converted,0.0
c-00133,control,converted,0.0
c-00134,control,converted,0.0
c-00135,control,converted,0.0
c-00136,control,converted,1.0
c-00137,control,converted,0.0
c-00138,control,converted,0.0
c-00139,control,converted,0.0
c-00140,control,converted,0.0
c-00141,control,converted,0.0
c-00142,control,converted,1.0
c-00143,control,converted,0.0
c-00144,control,converted,0.0
c-00145,control,converted,0.0
c-00146,control,converted,0.0
c-00147,control,converted,0.0
c-00148,control,converted,0.0
c-00149,control,converted,0.0
c-00150,control,converted,0.0
c-00151,control,converted,0.0
c-00152,control,converted,0.0
c-00153,control,converted,0.0
c-00154,control,converted,0.0
c-00155,control,converted,0.0
c-00156,control,converted,0.0
c-00157,control,converted,0.0
c-00158,control,converted,0.0
c-00159,control,converted,0.0
c-00160,control,converted,0.0
c-00161,control,converted,1.0
c-00162,control,converted,0.0
c-00163,control,converted,0.0
c-00164,control,converted,0.0
c-00165,control,converted,0.0
c-00166,control,converted,0.0
c-00167,control,converted,0.0
c-00168,control,converted,0.0
c-00169,control,converted,1.0
c-00170,control,converted,0.0
c-00171,control,converted,0.0
c-00172,control,converted,0.0
c-00173,control,converted,1.0
c-00174,control,converted,0.0
c-00175,control,converted,0.0
c-00176,control,converted,0.0
c-00177,control,converted,1.0
c-00178,control,converted,0.0
c-00179,control,converted,0.0
c-00180,control,converted,0.0
c-00181,control,converted,0.0
c-00182,control,converted,0.0
c-00183,control,converted,0.0
c-00184,control,converted,0.0
c-00185,control,converted,0.0
c-00186,control,converted,0.0
c-00187,control,converted,0.0
c-00188,control,converted,0.0
c-00189,control,converted,0.0
c-00190,control,converted,1.0
c-00191,control,converted,0.0
c-00192,control,converted,0.0
c-00193,control,converted,0.0
c-00194,control,converted,0.0
c-00195,control,converted,0.0
c-00196,control,converted,0.0
c-00197,control,converted,0.0
c-00198,control,converted,0.0
c-00199,control,converted,0.0
c-00200,control,converted,0.0
c-00201,control,converted,1.0
c-00202,control,converted,0.0
c-00203,control,converted,0.0
c-00204,control,converted,0.0
c-00205,control,converted,0.0
c-00206,control,converted,0.0
c-00207,control,converted,0.0
c-00208,control,converted,0.0
c-00209,control,converted,0.0
c-00210,control,converted,0.0
c-00211,control,converted,0.0
c-00212,control,converted,0.0
c-00213,control,converted,0.0
c-00214,control,converted,0.0
c-00215,control,converted,0.0
c-00216,control,converted,0.0
c-00217,control,converted,0.0
c-00218,control,converted,1.0
c-00219,control,converted,0.0
c-00220,control,converted,0.0
c-00221,control,converted,0.0
c-00222,control,converted,0.0
c-00223,control,converted,1.0
c-00224,control,converted,0.0
c-00225,control,converted,1.0
c-00226,control,converted,0.0
c-00227,control,converted,0.0
c-00228,control,converted,0.0
c-00229,control,converted,0.0
c-00230,control,converted,0.0
c-00231,control,converted,0.0
c-00232,control,converted,1.0
c-00233,control,converted,0.0
c-00234,control,converted,1.0
c-00235,control,converted,0.0
c-00236,control,converted,0.0
c-00237,control,converted,0.0
c-00238,control,converted,0.0
c-00239,control,converted,0.0
c-00240,control,converted,0.0
c-00241,control,converted,0.0
c-00242,control,converted,0.0
c-00243,control,converted,0.0
c-00244,control,converted,0.0
c-00245,control,converted,0.0
c-00246,control,converted,0.0
c-00247,control,converted,0.0
c-00248,control,converted,0.0
c-00249,control,converted,0.0
c-00250,control,converted,0.0
c-00251,control,converted,0.0
c-00252,control,converted,0.0
c-00253,control,converted,0.0
