user_id,variant,converted,revenue,time_on_page_sec,events_count,bounce
c-00000,control,0,0.0,95.2,0,1
c-00001,control,0,0.0,110.9,2,0
c-00002,control,0,0.0,89.2,2,0
c-00003,control,0,0.0,81.3,3,1
c-00004,control,0,0.0,118.6,3,0
c-00005,control,0,0.0,146.5,1,1
c-00006,control,0,0.0,74.1,0,1
c-00007,control,0,0.0,120.1,1,1
c-00008,control,0,0.0,100.5,1,0
c-00009,control,0,0.0,90.7,0,1
c-00010,control,0,0.0,145.6,0,0
c-00011,control,0,0.0,104.5,2,0
c-00012,control,0,0.0,164.9,1,0
c-00013,control,0,0.0,96.6,3,0
c-00014,control,0,0.0,131.6,0,0
c-00015,control,0,0.0,113.2,1,1
c-00016,control,1,24.0,97.4,1,1
c-00017,control,0,0.0,137.6,0,0
c-00018,control,0,0.0,115.4,1,0
c-00019,control,1,73.49,138.1,2,0
c-00020,control,0,0.0,118.6,1,0
c-00021,control,0,0.0,87.4,4,0
c-00022,control,0,0.0,116.9,3,1
c-00023,control,0,0.0,121.6,2,0
c-00024,control,0,0.0,148.8,1,1
c-00025,control,0,0.0,92.8,0,1
c-00026,control,0,0.0,118.8,4,0
c-00027,control,1,44.9,68.3,0,1
c-00028,control,0,0.0,139.5,4,1
c-00029,control,0,0.0,87.6,2,1
c-00030,control,0,0.0,65.8,1,0
c-00031,control,0,0.0,118.2,4,1
c-00032,control,0,0.0,153.2,2,1
c-00033,control,0,0.0,74.3,0,0
c-00034,control,0,0.0,87.4,0,0
c-00035,control,0,0.0,97.7,2,0
c-00036,control,0,0.0,86.1,2,1
c-00037,control,0,0.0,131.4,2,1
c-00038,control,0,0.0,95.8,1,0
c-00039,control,0,0.0,98.4,4,1
c-00040,control,0,0.0,137.5,1,1
c-00041,control,0,0.0,97.3,2,0
c-00042,control,0,0.0,133.0,2,0
c-00043,control,0,0.0,90.9,2,1
c-00044,control,0,0.0,83.6,1,0
c-00045,control,0,0.0,64.9,2,0
c-00046,control,0,0.0,175.8,2,1
c-00047,control,0,0.0,110.4,5,1
c-00048,control,0,0.0,127.3,3,0
c-00049,control,0,0.0,119.1,2,0
c-00050,control,0,0.0,124.8,3,0
c-00051,control,0,0.0,121.5,0,1
c-00052,control,0,0.0,177.2,2,1
c-00053,control,0,0.0,88.8,5,1
c-00054,control,0,0.0,73.3,4,0
c-00055,control,0,0.0,89.6,1,0
c-00056,control,0,0.0,80.0,2,0
c-00057,control,0,0.0,142.4,0,1
c-00058,control,1,55.05,144.6,2,0
c-00059,control,0,0.0,91.2,0,0
c-00060,control,0,0.0,78.3,1,0
c-00061,control,0,0.0,109.4,1,1
c-00062,control,0,0.0,161.7,2,0
c-00063,control,0,0.0,35.4,2,0
c-00064,control,0,0.0,135.8,2,0
c-00065,control,0,0.0,87.7,3,0
c-00066,control,0,0.0,151.2,3,1
c-00067,control,0,0.0,87.7,2,1
c-00068,control,1,81.52,111.4,2,1
c-00069,control,0,0.0,74.8,1,0
c-00070,control,0,0.0,90.7,0,0
c-00071,control,0,0.0,161.6,2,0
c-00072,control,0,0.0,144.6,0,1
c-00073,control,0,0.0,107.9,3,0
c-00074,control,0,0.0,93.9,3,1
c-00075,control,0,0.0,63.2,2,0
c-00076,control,1,20.77,108.2,3,0
c-00077,control,1,33.38,119.1,3,1
c-00078,control,0,0.0,117.5,2,0
c-00079,control,0,0.0,117.2,4,0
c-00080,control,0,0.0,86.3,2,0
c-00081,control,1,53.93,118.0,4,1
c-00082,control,0,0.0,118.8,2,0
c-00083,control,0,0.0,158.7,1,0
c-00084,control,0,0.0,176.0,1,0
c-00085,control,0,0.0,115.9,1,1
c-00086,control,0,0.0,97.0,4,0
c-00087,control,0,0.0,118.1,0,0
c-00088,control,0,0.0,101.8,2,1
c-00089,control,0,0.0,97.7,3,1
c-00090,control,0,0.0,118.2,2,1
c-00091,control,0,0.0,88.7,0,0
c-00092,control,0,0.0,138.2,2,1
c-00093,control,0,0.0,116.9,2,0
c-00094,control,0,0.0,127.5,2,1
c-00095,control,0,0.0,114.5,4,1
c-00096,control,0,0.0,98.2,5,1
c-00097,control,0,0.0,91.6,2,1
c-00098,control,0,0.0,112.9,2,0
c-00099,control,0,0.0,103.5,1,1
c-00100,control,1,60.1,127.0,1,0
c-00101,control,0,0.0,119.9,4,1
c-00102,control,0,0.0,79.1,1,1
c-00103,control,0,0.0,122.0,3,0
c-00104,control,0,0.0,79.7,2,0
c-00105,control,0,0.0,101.5,3,0
c-00106,control,0,0.0,111.2,5,1
c-00107,control,0,0.0,57.7,2,0
c-00108,control,0,0.0,122.7,3,1
c-00109,control,0,0.0,124.5,1,0
c-00110,control,0,0.0,115.3,1,1
c-00111,control,1,40.91,107.3,3,1
c-00112,control,0,0.0,108.8,2,0
c-00113,control,1,82.65,90.7,1,0
c-00114,control,0,0.0,111.9,4,0
c-00115,control,0,0.0,103.4,3,0
c-00116,control,0,0.0,122.8,3,1
c-00117,control,0,0.0,83.9,3,1
c-00118,control,0,0.0,127.1,1,1
c-00119,control,0,0.0,124.3,5,0
c-00120,control,0,0.0,115.8,0,1
